NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-37.001920
ENERGIES
-10.979421
-0.940364
-0.555736
-0.341519
0.472367
0.655142
0.696308
849736.418416
965066.300548
996478.075959
1070620.996895
1118093.547364

OEI
-18.608397	
0.220403	-4.644274	
0.000000	0.000000	-4.251531	
0.187882	-0.115716	0.000000	-4.357606	
-0.153188	0.299568	-0.000000	0.396072	-3.146396	
-0.236203	0.901374	-0.000000	-0.242029	-0.180762	-3.857370	
-0.000000	0.000000	0.796882	-0.000000	-0.000000	-0.000000	-3.550688	
0.115915	0.053996	0.000000	0.034081	0.003946	0.015472	0.000000	849732.840496	
0.000000	-0.000000	0.133529	-0.000000	0.000000	0.000000	0.026321	-0.000000	965063.468491	
-0.005063	-0.023508	0.000000	0.002212	-0.003180	0.013168	-0.000000	0.001120	-0.000000	996474.898267	
-0.038134	-0.197491	-0.000000	0.065583	0.119072	-0.139526	-0.000000	0.151678	-0.000000	0.132808	1070618.482306	
0.112674	0.079467	-0.000000	0.126991	0.006040	-0.003219	-0.000000	-0.854840	0.000000	0.037575	0.323703	1118089.863559	

ENV_OEI
-5.135397	
0.412986	-0.640189	
-0.000000	0.000000	-0.506123	
0.364997	0.068243	0.000000	-0.677689	
-0.307894	0.297858	-0.000000	-0.129160	-0.778811	
-0.479496	0.040367	-0.000000	0.197188	0.313798	-0.993790	
-0.000000	0.000000	0.150375	0.000000	0.000000	-0.000000	-0.536361	
0.220963	0.006351	0.000000	0.037019	0.050641	0.014943	0.000000	-0.778780	
-0.000000	-0.000000	-0.130212	-0.000000	0.000000	0.000000	-0.141225	0.000000	-0.829242	
0.014918	-0.259074	0.000000	0.606928	1.350578	-0.974871	-0.000000	0.125674	0.000000	-18.640465	
-0.055104	0.038650	-0.000000	-0.002035	-0.036413	0.067706	0.000000	-0.220825	0.000000	1.669671	-0.888569	
0.210044	-0.002465	0.000000	-0.038533	-0.028007	0.047591	0.000000	0.034170	-0.000000	0.179276	0.135429	-0.612491	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.000000	0.027047	0.038545	0.038545	1.000000	
0.027047	0.301519	0.378700	0.378700	0.248362	1.000000	
0.000000	0.000000	-0.155576	-0.155576	-0.015125	-0.113119	1.000000	
0.000000	0.000000	0.380474	-0.380474	0.000000	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.219667	-0.219667	-0.042713	-0.319437	0.000000	0.000000	1.000000	
0.015125	0.113119	0.044121	0.044121	0.000000	0.000000	0.112775	0.000000	-0.151526	1.000000	
0.000000	0.000000	0.268260	-0.268260	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	
0.042713	0.319437	0.279473	0.279473	0.000000	0.000000	-0.151526	0.000000	-0.261465	0.000000	0.000000	1.000000	

MOCOEFF
-0.996666	-0.016304	0.006496	0.006496	-0.001354	0.006664	0.027469	0.000000	0.007897	-0.002260	0.000000	0.003203	
0.143881	-0.338051	-0.267608	-0.267608	0.027511	0.046533	0.320103	-0.000000	0.229117	-0.168682	0.000000	-0.281137	
-0.000000	0.000000	-0.435353	0.435353	-0.000000	0.000000	-0.000000	-0.621555	0.000000	0.000000	0.337022	0.000000	
0.127217	-0.509590	-0.117125	-0.117125	-0.054323	0.219606	0.301463	-0.000000	-0.689357	0.025135	0.000000	0.363677	
-0.105487	0.653924	-0.896199	-0.896199	-0.117732	0.702036	-0.238191	-0.000000	0.147898	0.162885	-0.000000	0.601017	
-0.167568	1.028252	-0.416792	-0.416792	0.086885	-0.524818	-0.369535	-0.000000	-0.926243	-0.287485	-0.000000	-0.702247	
-0.000000	0.000000	-0.952052	0.952052	0.000000	-0.000000	-0.000000	1.079411	-0.000000	-0.000000	0.331144	-0.000000	
0.084288	-0.388040	0.000000	0.000000	-0.012325	0.049401	-0.608823	0.000000	0.000000	0.744813	-0.000000	-0.291146	
0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.000000	-0.000000	0.000000	-0.000000	0.000000	1.000000	-0.000000	
-0.000564	0.002599	0.000000	0.000000	1.025611	-0.216380	0.004077	0.000000	-0.000000	0.053739	0.000000	0.092871	
-0.018947	0.087226	0.000000	0.000000	-0.019715	-0.850780	0.136854	-0.000000	0.000000	0.334096	0.000000	0.355391	
0.081637	-0.375837	0.000000	0.000000	0.011610	-0.229166	-0.589676	0.000000	-0.000000	-0.509850	-0.000000	0.308002	

ERI
0 0 0 0 3.5236224
1 0 0 0 -0.1917037
1 0 1 0 0.0206786
1 0 1 1 0.0059146
1 1 0 0 0.6474380
1 1 1 0 0.0059146
1 1 1 1 0.5937763
2 0 0 0 0.0000000
2 0 1 0 -0.0000000
2 0 1 1 0.0000000
2 0 2 0 0.0095747
2 0 2 1 0.0111553
2 0 2 2 -0.0000000
2 1 0 0 -0.0000000
2 1 1 0 0.0000000
2 1 1 1 0.0000000
2 1 2 0 0.0111553
2 1 2 1 0.1049970
2 1 2 2 -0.0000000
2 2 0 0 0.6546086
2 2 1 0 -0.0008269
2 2 1 1 0.5125885
2 2 2 0 -0.0000000
2 2 2 1 -0.0000000
2 2 2 2 0.5400976
3 0 0 0 -0.1659851
3 0 1 0 0.0126736
3 0 1 1 -0.0087879
3 0 2 0 -0.0000000
3 0 2 1 0.0000000
3 0 2 2 -0.0038878
3 0 3 0 0.0249592
3 0 3 1 0.0082883
3 0 3 2 -0.0000000
3 0 3 3 0.0096208
3 1 0 0 0.0529587
3 1 1 0 -0.0011185
3 1 1 1 -0.0188048
3 1 2 0 0.0000000
3 1 2 1 0.0000000
3 1 2 2 0.0188304
3 1 3 0 0.0082883
3 1 3 1 0.0585902
3 1 3 2 -0.0000000
3 1 3 3 0.0420300
3 2 0 0 -0.0000000
3 2 1 0 0.0000000
3 2 1 1 0.0000000
3 2 2 0 0.0072847
3 2 2 1 0.0384131
3 2 2 2 -0.0000000
3 2 3 0 -0.0000000
3 2 3 1 -0.0000000
3 2 3 2 0.0372321
3 2 3 3 -0.0000000
3 3 0 0 0.7782366
3 3 1 0 -0.0067581
3 3 1 1 0.4871733
3 3 2 0 -0.0000000
3 3 2 1 -0.0000000
3 3 2 2 0.4865536
3 3 3 0 0.0096208
3 3 3 1 0.0420300
3 3 3 2 -0.0000000
3 3 3 3 0.6329414
4 0 0 0 0.1387993
4 0 1 0 -0.0128334
4 0 1 1 0.0015802
4 0 2 0 0.0000000
4 0 2 1 0.0000000
4 0 2 2 0.0022349
4 0 3 0 -0.0142309
4 0 3 1 -0.0020520
4 0 3 2 0.0000000
4 0 3 3 -0.0007721
4 0 4 0 0.0103759
4 0 4 1 -0.0003778
4 0 4 2 0.0000000
4 0 4 3 0.0011222
4 0 4 4 0.0000120
4 1 0 0 -0.0865001
4 1 1 0 -0.0008401
4 1 1 1 -0.0419035
4 1 2 0 0.0000000
4 1 2 1 0.0000000
4 1 2 2 0.0139816
4 1 3 0 0.0013301
4 1 3 1 0.0195034
4 1 3 2 0.0000000
4 1 3 3 -0.0530156
4 1 4 0 -0.0003778
4 1 4 1 0.0705854
4 1 4 2 -0.0000000
4 1 4 3 -0.0063921
4 1 4 4 -0.0073715
4 2 0 0 0.0000000
4 2 1 0 -0.0000000
4 2 1 1 0.0000000
4 2 2 0 0.0010308
4 2 2 1 0.0717143
4 2 2 2 -0.0000000
4 2 3 0 0.0000000
4 2 3 1 0.0000000
4 2 3 2 0.0161567
4 2 3 3 0.0000000
4 2 4 0 0.0000000
4 2 4 1 -0.0000000
4 2 4 2 0.0794013
4 2 4 3 -0.0000000
4 2 4 4 -0.0000000
4 3 0 0 -0.1418083
4 3 1 0 0.0050102
4 3 1 1 0.0206194
4 3 2 0 0.0000000
4 3 2 1 0.0000000
4 3 2 2 -0.0199747
4 3 3 0 -0.0084931
4 3 3 1 -0.0522845
4 3 3 2 0.0000000
4 3 3 3 -0.0923155
4 3 4 0 0.0011222
4 3 4 1 -0.0063921
4 3 4 2 -0.0000000
4 3 4 3 0.0784160
4 3 4 4 0.0337270
4 4 0 0 0.5025158
4 4 1 0 0.0019421
4 4 1 1 0.5148537
4 4 2 0 -0.0000000
4 4 2 1 -0.0000000
4 4 2 2 0.4725410
4 4 3 0 -0.0015091
4 4 3 1 -0.0189740
4 4 3 2 -0.0000000
4 4 3 3 0.4388603
4 4 4 0 0.0000120
4 4 4 1 -0.0073715
4 4 4 2 -0.0000000
4 4 4 3 0.0337270
4 4 4 4 0.5206143
5 0 0 0 0.2201659
5 0 1 0 -0.0263950
5 0 1 1 -0.0117583
5 0 2 0 0.0000000
5 0 2 1 0.0000000
5 0 2 2 -0.0005951
5 0 3 0 -0.0067664
5 0 3 1 0.0063184
5 0 3 2 0.0000000
5 0 3 3 0.0157509
5 0 4 0 0.0129735
5 0 4 1 0.0012707
5 0 4 2 0.0000000
5 0 4 3 -0.0119818
5 0 4 4 -0.0030516
5 0 5 0 0.0390790
5 0 5 1 0.0040637
5 0 5 2 0.0000000
5 0 5 3 0.0040479
5 0 5 4 -0.0024274
5 0 5 5 -0.0099540
5 1 0 0 -0.2657573
5 1 1 0 -0.0003846
5 1 1 1 -0.0712638
5 1 2 0 0.0000000
5 1 2 1 -0.0000000
5 1 2 2 -0.0710248
5 1 3 0 0.0080178
5 1 3 1 -0.0262704
5 1 3 2 0.0000000
5 1 3 3 -0.0916688
5 1 4 0 -0.0030462
5 1 4 1 0.0150630
5 1 4 2 -0.0000000
5 1 4 3 0.0469518
5 1 4 4 0.0007269
5 1 5 0 0.0040637
5 1 5 1 0.1050453
5 1 5 2 -0.0000000
5 1 5 3 -0.0364582
5 1 5 4 -0.0383759
5 1 5 5 -0.0824555
5 2 0 0 0.0000000
5 2 1 0 -0.0000000
5 2 1 1 0.0000000
5 2 2 0 -0.0060260
5 2 2 1 -0.0066368
5 2 2 2 0.0000000
5 2 3 0 -0.0000000
